Date,day_opening_price,day_high,day_low,day_closing_price,day_trading_volume,ZERO_START_POINT,DAY_HIGH_vs_ZERO,DAY_LOW_vs_ZERO,DAY_CLOSE_vs_ZERO
07/10/2011,1165.03,1171.4,1150.26,1155.46,"5,580,380,000",0,6.37,-14.77,-9.57
10/10/2011,1158.15,1194.91,1158.15,1194.89,"4,446,800,000",0,36.76,0,36.74
11/10/2011,1194.6,1199.24,1187.3,1195.54,"4,424,500,000",0,4.64,-7.3,0.94
12/10/2011,1196.19,1220.25,1196.19,1207.25,"5,355,360,000",0,24.06,0,11.06
13/10/2011,1206.96,1207.46,1190.58,1203.66,"4,436,270,000",0,0.5,-16.38,-3.3
14/10/2011,1205.65,1224.61,1205.65,1224.58,"4,116,690,000",0,18.96,0,18.93
17/10/2011,1224.47,1224.47,1198.55,1200.86,"4,300,700,000",0,0,-25.92,-23.61
18/10/2011,1200.75,1233.1,1191.48,1225.38,"4,840,170,000",0,32.35,-9.27,24.63
19/10/2011,1223.46,1229.64,1206.31,1209.88,"4,846,390,000",0,6.18,-17.15,-13.58
20/10/2011,1209.92,1219.53,1197.34,1215.39,"4,870,290,000",0,9.61,-12.58,5.47
21/10/2011,1215.39,1239.03,1215.39,1238.25,"4,980,770,000",0,23.64,0,22.86
24/10/2011,1238.72,1256.55,1238.72,1254.19,"4,309,380,000",0,17.83,0,15.47
25/10/2011,1254.19,1254.19,1226.79,1229.05,"4,473,970,000",0,0,-27.4,-25.14
26/10/2011,1229.17,1246.28,1221.06,1242,"4,873,530,000",0,17.11,-8.11,12.83
27/10/2011,1243.97,1292.66,1243.97,1284.59,"6,367,610,000",0,48.69,0,40.62
28/10/2011,1284.39,1287.08,1277.01,1285.09,"4,536,690,000",0,2.69,-7.38,0.7
31/10/2011,1284.96,1284.96,1253.16,1253.3,"4,310,210,000",0,0,-31.8,-31.66
01/11/2011,1251,1251,1215.42,1218.28,"5,645,540,000",0,0,-35.58,-32.72
02/11/2011,1219.62,1242.48,1219.62,1237.9,"4,110,530,000",0,22.86,0,18.28
03/11/2011,1238.25,1263.21,1234.81,1261.15,"4,849,140,000",0,24.96,-3.44,22.9
04/11/2011,1260.82,1260.82,1238.92,1253.23,"3,830,650,000",0,0,-21.9,-7.59
07/11/2011,1253.21,1261.7,1240.75,1261.12,"3,429,740,000",0,8.49,-12.46,7.91
08/11/2011,1261.12,1277.55,1254.99,1275.92,"3,908,490,000",0,16.43,-6.13,14.8
09/11/2011,1275.18,1275.18,1226.64,1229.1,"4,659,740,000",0,0,-48.54,-46.08
10/11/2011,1229.59,1246.22,1227.7,1239.7,"4,002,760,000",0,16.63,-1.89,10.11
11/11/2011,1240.12,1266.98,1240.12,1263.85,"3,357,850,000",0,26.86,0,23.73
